,names,scores,logfoldchanges,pvals,pvals_adj,log_pval
597,Sostdc1,0.2501091,0.2366801,0.8025029810259219,0.9949125519138148,0.09555334566364644
598,Pmaip1,0.24740177,0.40089047,0.8045973052141018,0.9949125519138148,0.09442142631683968
599,Arsj,0.24660043,0.5699037,0.805217464843751,0.9949125519138148,0.09408681400815805
600,Sln,0.24620302,0.61471546,0.8055250793792799,0.9949125519138148,0.09392093362282057
601,Fam122b,0.23967233,0.117601044,0.8105842799955856,0.9949125519138148,0.09120182296956976
602,Barhl1,0.23870231,0.3629264,0.8113364268738841,0.9949125519138148,0.09079902490322997
603,Vwc2l,0.23817025,0.29373977,0.8117490496746396,0.9949125519138148,0.09057821113596355
604,Pdlim3,0.23791152,0.34782562,0.811949718994915,0.9949125519138148,0.0904708641568216
605,Kctd8,0.23730566,0.18859184,0.8124196732037167,0.9949125519138148,0.09021956845240293
606,Scml4,0.23717427,0.3310104,0.8125215999057034,0.9949125519138148,0.090165085001189
607,Glis3,0.22838235,0.09912785,0.819349014685647,0.9949125519138148,0.08653106421689905
608,Pcdh20,0.22798654,0.18028626,0.8196567008576792,0.9949125519138148,0.08636800632518579
609,A730046J19Rik,0.22506185,0.54946536,0.8219311575165212,0.9949125519138148,0.08516455613724881
610,Popdc3,0.22497912,0.79624736,0.8219955150961873,0.9949125519138148,0.08513055201504856
611,D130009I18Rik,0.219618,0.40540516,0.826168673677473,0.9949125519138148,0.08293127644602194
612,Pou3f1,0.20712033,0.0027650925,0.8359158862571164,0.9949125519138148,0.07783742109237224
613,Tmem132c,0.20636928,0.22931068,0.8365024618317217,0.9949125519138148,0.07753277656846194
614,Gpr149,0.20578207,0.25431025,0.8369611436658533,0.9949125519138148,0.07729470387438406
615,Hoxb8,0.20341052,0.44219247,0.8388141724969194,0.9949125519138148,0.07633424036071235
616,H2-Q2,0.20305042,0.31699446,0.8390956274069457,0.9949125519138148,0.07618854204548414
617,Col23a1,0.1974703,0.15068233,0.84345951937808,0.9949125519138148,0.07393575591136191
