,names,scores,logfoldchanges,pvals,pvals_adj,log_pval,comparison
861,Gxylt2,0.446575,0.43911707,0.6551819581791434,0.7399924117358987,0.18363807030002433,cc-out_vs_cc_in
862,Skor1,0.44626918,0.3194916,0.6554028201153235,0.7399924117358987,0.18349169423547346,cc-out_vs_cc_in
863,Evx1os,0.44084722,0.86100924,0.6593236127514245,0.7430046160996446,0.18090137032938727,cc-out_vs_cc_in
864,Nkx6-1,0.440493,0.39960408,0.6595800920125199,0.7430046160996446,0.18073246106206456,cc-out_vs_cc_in
865,C7,0.43980685,0.37862575,0.6600770081821326,0.7430046160996446,0.18040539434056665,cc-out_vs_cc_in
866,Hoxb5,0.4345048,1.4537445,0.6639218971420264,0.7462759533189955,0.17788300743211874,cc-out_vs_cc_in
867,Aqp6,0.43372124,0.6492614,0.6644908679623927,0.7462759533189955,0.1775109831498322,cc-out_vs_cc_in
868,Frem1,0.43302256,0.2915117,0.6649983742446495,0.7462759533189955,0.17717941643740778,cc-out_vs_cc_in
869,Popdc3,0.42795783,0.89228773,0.6686818309387517,0.7476356483968024,0.174780477054686,cc-out_vs_cc_in
870,9630002D21Rik,0.4278389,1.1165575,0.6687684281037092,0.7476356483968024,0.1747242376982123,cc-out_vs_cc_in
871,Pth2,0.4276558,1.0481595,0.6689017412299024,0.7476356483968024,0.17463767352628115,cc-out_vs_cc_in
872,Ndst4,0.42271775,0.1308022,0.6725012043979417,0.749438086528497,0.1723069335368381,cc-out_vs_cc_in
873,Gpr101,0.42135882,0.96483487,0.6734930838809154,0.749438086528497,0.1716668597001296,cc-out_vs_cc_in
874,Ebf2,0.42103747,1.1175181,0.6737277222794986,0.749438086528497,0.17151558210359652,cc-out_vs_cc_in
875,Lhx5,0.42086932,0.58538765,0.6738505091481469,0.749438086528497,0.17143643915158369,cc-out_vs_cc_in
876,Rnh1,0.4208191,0.032481868,0.6738871723150031,0.749438086528497,0.17141281050147225,cc-out_vs_cc_in
